seqnames	start	end	width	strand	refGenome	reads	patient	GTSP	cellType	timePoint	timePointDays	timePointMonths	posid	estAbund	relAbund	inFeature	nearestFeature	nearestFeatureStrand	inFeatureExon	inFeatureSameOrt	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist	nearestOncoFeatureStrand	nearestlymphomaFeature	nearestlymphomaFeatureDist	nearestlymphomaFeatureStrand
chr1	71716592	71716592	1	-	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr1-71716592	1	1.2345679012345678	TRUE	NEGR1	-	FALSE	TRUE	-0	DIRAS3	-3664960	-	STIL	-24402444	-
chr1	85842245	85842245	1	-	hg38	222	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr1-85842245	1	1.2345679012345678	TRUE	COL24A1	-	FALSE	TRUE	-0	CYR61	258277	+	STIL	-38528097	-
chr1	13733798	13733798	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr1+13733798	1	1.2345679012345678	TRUE	PRDM2	+	FALSE	TRUE	0	PRDM2	0	+	LCK	-18517439	+
chr10	92894624	92894624	1	-	hg38	7	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr10-92894624	1	1.2345679012345678	TRUE	EXOC6	+	FALSE	FALSE	0	HHEX	198972	+	TLX1	-8236678	+
chr10	124958096	124958096	1	+	hg38	2	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr10+124958096	1	1.2345679012345678	TRUE	ZRANB1	+	FALSE	TRUE	0	EDRF1	-761417	+	NFKB2	22555566	+
chr10	21918179	21918179	1	+	hg38	6	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr10+21918179	1	1.2345679012345678	TRUE	DNAJC1	-	FALSE	FALSE	0	MLLT10	174548	+	MLLT10	174548	+
chr11	14898197	14898197	1	-	hg38	36	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11-14898197	1	1.2345679012345678	FALSE	CYP2R1	-	FALSE	TRUE	-5991	CALCA	68470	-	LMO1	-6629561	-
chr11	21942059	21942059	1	-	hg38	11	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11-21942059	1	1.2345679012345678	FALSE	ANO5	+	FALSE	FALSE	-251115	FANCF	680472	-	LMO2	11916515	-
chr11	58527132	58527132	1	-	hg38	11	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11-58527132	1	1.2345679012345678	TRUE	LPXN	-	TRUE	TRUE	-0	CTNND1	707951	+	CCND1	-11113971	+
chr11	73541790	73541790	1	-	hg38	16	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11-73541790	1	1.2345679012345678	TRUE	FAM168A	-	FALSE	TRUE	0	PLEKHB1	-104386	+	CCND1	3887315	+
chr11	77450957	77450957	1	-	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11-77450957	1	1.2345679012345678	TRUE	PAK1	-	FALSE	TRUE	0	PAK1	0	-	CCND1	7796482	+
chr11	46059458	46059458	1	+	hg38	20	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr11+46059458	1	1.2345679012345678	TRUE	PHF21A	-	FALSE	FALSE	0	CREB3L1	-218178	+	LMO2	-12167168	-
chr12	110542284	110542284	1	-	hg38	129	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr12-110542284	1	1.2345679012345678	TRUE	PPTC7	-	FALSE	TRUE	-0	PPTC7	-0	-	ETV6	98646881	+
chr12	127057999	127057999	1	-	hg38	24	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr12-127057999	1	1.2345679012345678	TRUE	LINC02405	-	FALSE	TRUE	0	SCARB1	-2194025	-	ETV6	115162596	+
chr12	59442027	59442027	1	-	hg38	36	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr12-59442027	1	1.2345679012345678	FALSE	SLC16A7	+	FALSE	FALSE	-154011	CDK4	-1689579	-	ETV6	47546624	+
chr12	48954560	48954560	1	+	hg38	68	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr12+48954560	1	1.2345679012345678	TRUE	ARF3	-	FALSE	FALSE	0	WNT10B	10778	-	ETV6	37059157	+
chr12	96949614	96949614	1	+	hg38	4	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr12+96949614	1	1.2345679012345678	TRUE	NEDD1	+	FALSE	TRUE	-0	ELK3	679778	+	ETV6	85054211	+
chr13	52476071	52476071	1	-	hg38	129	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr13-52476071	1	1.2345679012345678	TRUE	CKAP2	+	TRUE	FALSE	-0	OLFM4	-552668	+	CDX2	-24506702	-
chr13	93464013	93464013	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr13+93464013	1	1.2345679012345678	TRUE	GPC6	+	FALSE	TRUE	0	GPC5	596775	+	CDX2	-65494644	-
chr14	83618457	83618457	1	-	hg38	3	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr14-83618457	1	1.2345679012345678	FALSE	LINC02301	+	FALSE	FALSE	911631	SEL1L	-2084595	-	TCL1A	12091508	-
chr14	21360777	21360777	1	+	hg38	1	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr14+21360777	1	1.2345679012345678	TRUE	SUPT16H	-	FALSE	FALSE	-0	NDRG2	-289904	-	TCL1A	74349188	-
chr14	31110239	31110239	1	+	hg38	22	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr14+31110239	1	1.2345679012345678	TRUE	HECTD1	-	FALSE	FALSE	-0	PRKD1	-1182496	-	TCL1A	64599726	-
chr15	57093598	57093598	1	+	hg38	79	GSK123_.25nM	GTSP5030	JLTRG-R5	H48	48	48	chr15+57093598	1	1.2345679012345678	TRUE	TCF12	+	FALSE	TRUE	0	TCF12	0	+	None.found	Inf	None.found
